#multi:
;masse A;;;masse B;;;
t;x;y;θ;x;y;θ;
0,860;-10,38;-1,469;188,0;-6,016;-8,100;233,4
0,870;-10,38;-1,888;190,3;-6,530;-8,754;233,3
0,880;-10,28;-2,308;192,7;-6,951;-9,432;233,6
0,890;-10,12;-2,832;195,6;-7,278;-10,13;234,3
0,900;-9,965;-3,357;198,6;-7,488;-10,76;235,2
0,910;-9,755;-3,881;201,7;-7,511;-11,37;236,6
0,920;-9,598;-4,406;204,7;-7,558;-12,05;237,9
0,930;-9,283;-5,035;208,5;-7,394;-12,61;239,6
0,940;-8,916;-5,717;212,7;-7,114;-13,26;241,8
0,950;-8,444;-6,346;216,9;-6,717;-13,92;244,2
0,960;-7,867;-6,976;221,6;-6,273;-14,62;246,8
0,970;-7,343;-7,605;226,0;-5,619;-15,27;249,8
0,980;-6,556;-8,339;231,8;-4,872;-15,93;253,0
0,990;-5,612;-8,969;238,0;-4,054;-16,56;256,2
1,000;-4,563;-9,546;244,5;-3,050;-17,16;259,9
1,010;-3,409;-10,02;251,2;-2,115;-17,77;263,2
1,020;-1,941;-10,44;259,5;-0,971;-18,10;266,9
1,030;-0,210;-10,54;268,9;0,291;-18,31;270,9
1,040;1,311;-10,49;277,1;1,575;-18,21;274,9
1,050;3,199;-10,07;287,6;3,047;-17,79;279,7
1,060;4,930;-9,336;297,8;4,612;-17,09;285,1
1,070;6,504;-8,287;308,1;6,294;-16,00;291,5
1,080;8,025;-6,871;319,4;8,209;-14,57;299,4
1,090;9,074;-5,140;330,5;10,22;-12,77;308,7
1,100;9,913;-3,252;341,8;12,23;-10,51;319,3
1,110;10,33;-1,259;353,1;14,24;-7,796;331,3
1,120;10,33;0,629;363,5;15,96;-4,503;344,2
1,130;10,07;2,360;373,2;16,97;-0,602;358,0
1,140;9,493;3,934;382,5;17,09;3,719;372,3
1,150;8,811;5,297;391,0;15,89;7,924;386,5
1,160;8,025;6,399;398,6;13,44;11,52;400,6
1,170;7,133;7,343;405,8;10,19;14,11;414,2
1,180;6,136;8,182;413,1;6,434;15,47;427,4
1,190;5,087;8,864;420,1;2,720;15,80;440,2
1,200;3,881;9,441;427,7;-0,480;15,24;451,8
1,210;2,570;9,860;435,4;-3,283;14,23;463,0
1,220;1,259;10,07;442,9;-5,526;12,74;473,5
1,230;5,245E-2;10,28;449,7;-7,254;11,08;483,2
1,240;-1,154;10,12;456,5;-8,586;9,349;492,6
1,250;-2,360;9,965;463,3;-9,497;7,620;501,3
1,260;-3,462;9,546;469,9;-10,01;5,962;509,2
1,270;-4,406;9,178;475,6;-10,22;4,420;516,6
1,280;-5,297;8,759;481,2;-10,22;3,019;523,5
1,290;-6,084;8,234;486,5;-9,987;1,757;530,0
1,300;-6,766;7,710;491,3;-9,427;0,589;536,4
1,310;-7,238;7,185;495,2;-8,749;-0,392;542,6
1,320;-7,762;6,661;499,4;-7,908;-1,092;547,9
1,330;-8,234;6,189;503,1;-6,904;-1,536;552,5
1,340;-8,654;5,560;507,3;-5,876;-1,676;555,9
1,350;-8,969;5,035;510,7;-4,872;-1,560;557,8
1,360;-9,283;4,406;514,6;-3,844;-1,139;556,5
1,370;-9,493;3,986;517,2;-2,980;-0,438;548,4
1,380;-9,703;3,462;520,4;-2,396;0,496;528,3
1,390;-9,913;2,937;523,5;-1,998;1,594;501,4
